,ZIP,UNITID,INSTNM,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTFLOAN,CDR3,UGDS_MEN,UGDS_WOMEN,LPSTAFFORD_CNT,LPSTAFFORD_AMT,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings,LAT,LNG
885,37204,219976,Lipscomb University,2914.0,0.7491,0.0676,0.0752,0.0295,0.0014,0.0014,0.0323,0.0343,0.0093,0.5105,0.027,0.3871,0.6129,11872,360004168,0.0,0.006,0.0,0.0,0.0346,0.0,0.0211,0.0,0.0812,0.0632,0.0,0.006,0.006,0.0211,0.0331,0.0135,0.0,0.1083,0.009,0.0,0.0421,0.0376,0.0075,0.0361,0.0015,0.0,0.0617,0.0015,0.0286,0.012,0.0,0.0,0.0,0.0,0.0511,0.0677,0.2406,0.009,Bachelor's,Graduate,Private,Southeast,Large City,0.527,25,1149,37181,10013,7138,14500.0,20.6200008,79148.0,35500,36.106735,-86.774283
886,37614,220075,East Tennessee State University,10760.0,0.816,0.0664,0.0296,0.0138,0.0019,0.0011,0.0343,0.0257,0.0113,0.4592,0.096,0.426,0.574,42003,1133518099,0.0,0.0,0.0,0.0,0.0426,0.0221,0.0283,0.0,0.0283,0.0,0.0307,0.0053,0.0192,0.0,0.0266,0.0606,0.0,0.027,0.009,0.0,0.0,0.0651,0.0025,0.0,0.018,0.0,0.052,0.0295,0.0524,0.0299,0.0,0.0,0.0,0.0,0.0336,0.2408,0.1577,0.0188,Bachelor's,Graduate,Public,Southeast,Small City,0.8649,22,1026,22485,12462,6711,14250.0,23.0300007,36276.0,30900,36.301387,-82.371242
887,37208,220181,Fisk University,743.0,0.0054,0.8641,0.0108,0.004,0.0,0.0,0.0229,0.0498,0.0431,0.9091,0.101,0.3015,0.6985,5018,115979419,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0,0.0,0.0,0.0,0.0227,0.0,0.0,0.053,0.0303,0.0,0.1667,0.0227,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.2576,0.0,0.0,0.0379,0.0,0.0,0.0,0.0,0.0379,0.0,0.2424,0.0152,Bachelor's,Graduate,Private,Southeast,Large City,0.3968,18,854,38893,9602,5525,21500.0,19.9400005,38568.0,29500,36.177714,-86.808023
888,38340,220215,Freed-Hardeman University,1311.0,0.8642,0.0427,0.0046,0.0038,0.0084,0.0008,0.0107,0.0183,0.0465,0.5146,0.058,0.4386,0.5614,7860,242702272,0.0,0.0033,0.0,0.0,0.0329,0.0,0.0197,0.0,0.0461,0.0033,0.0,0.0066,0.0428,0.0,0.0263,0.0,0.0,0.0592,0.0066,0.0,0.023,0.0789,0.0,0.0855,0.0132,0.0,0.0428,0.023,0.0822,0.0066,0.0,0.0,0.0,0.0,0.0493,0.1316,0.1941,0.023,Bachelor's,Graduate,Private,Southeast,Distant Town,0.9203,24,1098,32814,6339,6154,19125.0,20.1399994,64443.0,33700,35.401322,-88.68325
889,37620,220516,King University,1539.0,0.7277,0.0578,0.0351,0.0091,0.0026,0.0013,0.0104,0.0279,0.128,0.6687,0.067,0.3801,0.6199,9852,235082163,0.0,0.0,0.0,0.0,0.0211,0.0,0.0818,0.0,0.0237,0.0,0.0,0.0026,0.0,0.0,0.0053,0.0158,0.0,0.0251,0.0066,0.0,0.0106,0.0013,0.0079,0.0026,0.0053,0.0,0.0699,0.029,0.0079,0.0158,0.0,0.0,0.0,0.0,0.0079,0.372,0.2823,0.0053,Bachelor's,Graduate,Private,Southeast,Small City,0.6377,23,1039,36533,4357,4703,17910.0,25.6499996,52011.0,39900,36.549613,-82.09404
890,38301,220598,Lane College,1232.0,0.0024,0.9083,0.0081,0.0008,0.0008,0.0,0.0073,0.0,0.0722,0.9232,0.171,0.5195,0.4805,11249,230717370,0.0,0.0,0.0,0.0,0.0702,0.0,0.0409,0.0,0.1404,0.0,0.0,0.0,0.0,0.0,0.0351,0.0,0.0,0.1345,0.0175,0.0,0.0234,0.0,0.0058,0.0,0.0234,0.0,0.0,0.1754,0.0,0.1462,0.0,0.0,0.0,0.0,0.0,0.0,0.1813,0.0058,Bachelor's,Bachelor's,Private,Southeast,Small City,0.4916,15,716,17406,4813,4704,16018.0,20.2700005,25617.0,20300,35.588164,-88.853395
891,38126,220604,Le Moyne-Owen College,884.0,0.0,0.9774,0.0045,0.0,0.0023,0.0,0.0,0.0158,0.0,0.8297,0.233,0.3088,0.6912,7607,143819103,0.0,0.0,0.0,0.0,0.0094,0.0,0.0189,0.0,0.1132,0.0,0.0,0.0,0.0,0.0,0.0094,0.0189,0.0,0.0755,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,0.0,0.1509,0.0755,0.0566,0.0,0.0,0.0,0.0,0.0566,0.0,0.3962,0.0,Bachelor's,Bachelor's,Private,Southeast,Large City,0.2335,16,760,16427,4198,4750,12250.0,23.6100006,17437.5,23300,35.126968,-90.043659
892,37311,220613,Lee University,4258.0,0.8187,0.0505,0.0178,0.0078,0.004,0.0016,0.0322,0.0279,0.0395,0.6638,0.082,0.383,0.617,15601,363914553,0.0,0.0,0.0,0.0,0.1183,0.0,0.0159,0.0,0.1365,0.0,0.0,0.0057,0.0,0.0,0.0216,0.0648,0.0,0.0284,0.0114,0.0,0.0034,0.0205,0.0046,0.1763,0.0023,0.0,0.0819,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0444,0.1047,0.1092,0.0182,Bachelor's,Graduate,Private,Southeast,Small City,0.9165,24,1094,23554,5177,5605,17686.5,21.4500008,54410.0,30000,35.113133,-84.928186
893,37752,220631,Lincoln Memorial University,1861.0,0.8399,0.0613,0.0043,0.0118,0.0161,0.0,0.0,0.0317,0.0349,0.6571,0.034,0.2724,0.7276,18284,804299375,0.0,0.0145,0.0,0.0,0.0104,0.0,0.0,0.0,0.0477,0.0,0.0,0.0,0.0,0.0,0.0083,0.0083,0.0,0.0436,0.0083,0.0,0.0,0.0456,0.0,0.0,0.0145,0.0,0.027,0.0124,0.0187,0.0021,0.0,0.0,0.0,0.0,0.0021,0.6369,0.0975,0.0021,Bachelor's,Graduate,Private,Southeast,Remote Town,0.6995,23,1054,31241,7988,2660,15000.0,26.8899994,31386.0,35400,36.560697,-83.538079
894,37804,220710,Maryville College,1106.0,0.764,0.1103,0.0416,0.0072,0.0027,0.0,0.0407,0.0154,0.0181,0.7282,0.08,0.4494,0.5506,4730,79311831,0.0,0.0338,0.0,0.0,0.0,0.0,0.0097,0.0,0.0918,0.0048,0.0,0.029,0.0,0.0,0.058,0.0,0.0,0.1208,0.0145,0.0,0.0,0.1208,0.0048,0.0,0.0145,0.0,0.0628,0.0,0.0,0.1304,0.0,0.0,0.0,0.0,0.0821,0.0,0.1981,0.0242,Bachelor's,Bachelor's,Private,Southeast,Large Suburb,0.7259,24,1068,41481,7181,6508,19000.0,19.9599991,61945.5,32700,35.792054,-83.893165
